Year,Kategorija,Units,Starost,Lokacija,Pol,Value
2020,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,20.4
2020,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,17.3
2020,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,15.5
2020,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,20.5
2021,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,21.2
2021,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,21.1
2021,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,21.3
2021,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,30.5
2021,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,24.7
2021,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,19.6
2021,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,15.5
2021,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,13.8
2021,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,19.6
2022,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,20.3
2022,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,20.0
2022,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,20.6
2022,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,28.4
2022,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,25.8
2022,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,18.6
2022,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,13.4
2022,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,14.3
2022,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,18.7
2023,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,20.1
2023,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,20.2
2023,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,19.9
2023,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,27.3
2023,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,24.4
2023,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,18.3
2023,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,14.9
2023,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,13.8
2023,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,18.6
2024,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Oba pola,20.0
2024,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Muškarci,19.8
2024,Stopa rizika od siromaštva (EU-SILC),procenat,sva godišta,Sve lokacije,Žene,20.1
2024,Stopa rizika od siromaštva (EU-SILC),procenat,manje od 18 godina,Sve lokacije,Oba pola,25.6
2024,Stopa rizika od siromaštva (EU-SILC),procenat,18-24 godine,Sve lokacije,Oba pola,22.1
2024,Stopa rizika od siromaštva (EU-SILC),procenat,25-54 godine,Sve lokacije,Oba pola,17.3
2024,Stopa rizika od siromaštva (EU-SILC),procenat,55-64 godine,Sve lokacije,Oba pola,16.8
2024,Stopa rizika od siromaštva (EU-SILC),procenat,65 ili više godina,Sve lokacije,Oba pola,20.5
2024,Stopa rizika od siromaštva (EU-SILC),procenat,18-64 godine,Sve lokacije,Oba pola,17.8
